num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,3.101191997528076,48692,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
2,300,6.075727224349976,48689,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
3,400,8.870716094970703,48466,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
4,500,11.658970355987549,48412,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
5,600,14.418574571609497,48215,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
6,700,17.225646018981934,47993,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
7,800,20.001660346984863,47987,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
8,900,22.81556987762451,47601,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
9,1000,25.56878900527954,47089,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
10,1100,28.333452939987183,47089,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
11,1200,31.094640254974365,47078,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
12,1300,33.84208416938782,46920,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
13,1400,36.59299683570862,46731,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
14,1500,39.37075185775757,46444,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
15,1600,42.250364542007446,46444,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
16,1700,45.149970054626465,46120,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
17,1800,48.01134157180786,45903,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
18,1900,50.926631927490234,45903,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
19,2000,53.74852275848389,45862,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
20,2100,56.58982753753662,45768,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
21,2200,59.46330952644348,45684,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
22,2300,62.35032773017883,45476,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
23,2400,65.22679328918457,45259,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
24,2500,68.18160820007324,45133,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
25,2600,71.0005271434784,45053,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
26,2700,73.84746718406677,44518,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
27,2800,76.63637828826904,44320,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
28,2900,79.52988171577454,44182,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
29,3000,82.38471364974976,43741,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
30,3100,85.22801637649536,43741,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
31,3200,88.02586936950684,43546,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
32,3300,90.88988137245178,43546,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,5833.474175453186
