num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.538658618927002,48514,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
2,300,3.307954788208008,48303,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
3,400,5.056013584136963,47896,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
4,500,6.807139158248901,47792,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
5,600,8.539845943450928,47430,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
6,700,10.330649137496948,47135,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
7,800,12.459387302398682,47135,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
8,900,14.850150346755981,46727,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
9,1000,17.226757287979126,45448,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
10,1100,19.57564640045166,45448,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
11,1200,21.929349660873413,45319,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
12,1300,24.271973371505737,45157,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
13,1400,26.63653326034546,45157,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
14,1500,28.968233346939087,44904,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
15,1600,31.394487142562866,44269,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
16,1700,33.74144744873047,44269,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
17,1800,36.179086446762085,44253,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
18,1900,38.513986110687256,44253,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
19,2000,40.902053117752075,44069,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
20,2100,43.30684494972229,43711,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
21,2200,45.77520775794983,43711,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
22,2300,48.18070340156555,43711,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
23,2400,50.6854305267334,43506,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
24,2500,53.19534683227539,43264,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
25,2600,55.69928193092346,43172,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
26,2700,58.234800577163696,43062,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
27,2800,60.83558773994446,43018,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
28,2900,63.43198823928833,42767,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
29,3000,66.08385109901428,42767,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
30,3100,68.76457071304321,42537,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
31,3200,71.46750712394714,42521,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
32,3300,74.15268516540527,42340,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
33,3400,76.83981037139893,42340,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
34,3500,79.55906343460083,42322,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
35,3600,82.21409106254578,42157,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
36,3700,84.95617437362671,42157,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
37,3800,87.642085313797,42045,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
38,3900,90.32331967353821,42045,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
39,4000,93.02731966972351,41926,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
40,4100,95.77110409736633,41841,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
41,4200,98.5675311088562,41790,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
42,4300,101.33971977233887,41679,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
43,4400,104.05861020088196,41530,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
44,4500,106.78625655174255,41445,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
45,4600,109.49967503547668,41437,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
46,4700,112.18469262123108,41334,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
47,4800,114.86907291412354,41219,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
48,4900,117.63320875167847,41204,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
49,5000,120.32327890396118,41089,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
50,5100,123.16697788238525,41055,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
51,5200,126.05181050300598,40996,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
52,5300,128.8056197166443,40968,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
53,5400,131.51944279670715,40872,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
54,5500,134.27122521400452,40872,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
55,5600,137.01101422309875,40678,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
56,5700,139.73574709892273,40536,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
57,5800,142.6037633419037,40536,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
58,5900,145.34450840950012,40536,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
59,6000,148.05034160614014,40511,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
60,6100,150.76613998413086,40493,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
61,6200,153.4563708305359,40338,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
62,6300,156.20855021476746,40338,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
63,6400,158.9519739151001,40246,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
64,6500,161.68357157707214,40106,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
65,6600,164.36027455329895,40106,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
66,6700,167.13538002967834,40026,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
67,6800,169.78823065757751,39892,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
68,6900,172.512038230896,39675,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
69,7000,175.20261144638062,39573,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
70,7100,177.92728519439697,39517,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
71,7200,180.6322910785675,39517,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
72,7300,183.32463669776917,39423,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
73,7400,185.9969596862793,39362,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
74,7500,188.77470421791077,39265,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
75,7600,191.4807529449463,39235,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
76,7700,194.17963123321533,39147,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
77,7800,196.95128345489502,39120,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
78,7900,199.6544418334961,39004,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
79,8000,202.38637137413025,38988,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
80,8100,205.12918281555176,38885,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
81,8200,207.8785629272461,38845,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
82,8300,210.55814480781555,38681,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
83,8400,213.24885630607605,38681,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
84,8500,216.09548497200012,38671,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
85,8600,218.8249785900116,38618,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
86,8700,221.57480144500732,38524,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
87,8800,224.26276659965515,38520,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
88,8900,227.00008368492126,38518,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
89,9000,229.7457730770111,38476,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
90,9100,232.538432598114,38460,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
91,9200,235.24252152442932,38425,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
92,9300,237.99764037132263,38332,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
93,9400,241.21252584457397,38332,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
94,9500,243.91238570213318,38322,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
95,9600,246.63915085792542,38132,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
96,9700,249.37660670280457,38104,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
97,9800,252.12793064117432,38046,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
98,9900,254.85017013549805,38019,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
99,10000,257.5646643638611,37973,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
100,10100,260.3431670665741,37864,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
101,10200,263.16229486465454,37847,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
102,10300,266.28567838668823,37801,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
103,10400,269.02337431907654,37485,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
104,10500,271.78249335289,37485,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
105,10600,274.48236560821533,37485,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
106,10700,277.2728910446167,37418,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
107,10800,280.0100018978119,37363,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
108,10900,282.73689889907837,37227,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
109,11000,285.4389133453369,37227,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
110,11100,288.19296312332153,37227,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
111,11200,290.93813467025757,37177,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
112,11300,293.6826615333557,37177,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
113,11400,296.3832013607025,37103,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
114,11500,299.1121726036072,37078,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
115,11600,301.85909628868103,37078,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
116,11700,304.5788531303406,37055,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
117,11800,307.40118169784546,37017,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
118,11900,310.13709783554077,36985,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
119,12000,312.9495861530304,36939,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
120,12100,315.6801311969757,36871,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1257.815868139267
