num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.5096802711486816,47506,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
2,300,3.167860507965088,47077,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
3,400,4.841216564178467,47008,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
4,500,6.520308971405029,46337,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
5,600,8.201118230819702,46313,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
6,700,9.900893926620483,46226,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
7,800,11.607056140899658,46080,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
8,900,13.32390284538269,45967,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
9,1000,15.076646566390991,45813,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
10,1100,17.09341263771057,45529,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
11,1200,19.85901188850403,45422,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
12,1300,22.580420970916748,45331,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
13,1400,24.964465379714966,44995,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
14,1500,27.6743483543396,44676,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
15,1600,30.472383737564087,44672,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
16,1700,32.92619752883911,44415,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
17,1800,35.74340844154358,44067,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
18,1900,38.61021542549133,43892,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
19,2000,41.300535678863525,43756,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
20,2100,43.61168932914734,43664,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
21,2200,45.91095733642578,43600,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
22,2300,48.547614336013794,43440,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
23,2400,51.14948582649231,43361,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
24,2500,53.972811460494995,43032,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
25,2600,56.29248666763306,43032,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
26,2700,58.6197395324707,43032,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
27,2800,60.95411825180054,42831,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
28,2900,63.3676974773407,42721,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
29,3000,65.95091319084167,42611,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
30,3100,68.30328249931335,42554,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
31,3200,70.76193308830261,42322,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
32,3300,73.08701872825623,42322,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
33,3400,75.54071593284607,42152,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
34,3500,77.92501497268677,41939,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
35,3600,80.29164862632751,41888,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
36,3700,82.67168235778809,41689,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
37,3800,85.0029296875,41689,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
38,3900,87.37738752365112,41600,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
39,4000,89.84277892112732,41517,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
40,4100,92.22336888313293,41439,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
41,4200,94.55520153045654,41335,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
42,4300,96.99977350234985,41300,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
43,4400,99.44397950172424,41137,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
44,4500,101.80343580245972,41018,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
45,4600,104.19687938690186,40914,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
46,4700,106.61174249649048,40914,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1219.2169692516327
