num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.5469872951507568,47472,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
2,300,3.323866605758667,46977,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
3,400,5.036390066146851,46977,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
4,500,6.840705156326294,46695,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
5,600,8.669912576675415,46631,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
6,700,10.420393466949463,46631,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
7,800,13.976490020751953,46448,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
8,900,16.825382471084595,46437,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
9,1000,19.93020987510681,46165,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
10,1100,22.770087480545044,46084,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
11,1200,25.589125156402588,45881,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
12,1300,28.916522979736328,45786,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
13,1400,32.28792595863342,45564,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
14,1500,35.6666944026947,45250,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
15,1600,38.27906084060669,45211,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
16,1700,40.72910475730896,45066,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
17,1800,43.34227442741394,45001,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
18,1900,46.08601403236389,44606,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
19,2000,50.3227162361145,44606,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
20,2100,52.83754086494446,44594,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
21,2200,55.53562879562378,44516,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
22,2300,58.17132592201233,44300,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
23,2400,60.73438549041748,44234,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
24,2500,62.98326301574707,44234,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
25,2600,65.29034662246704,43980,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
26,2700,67.65087795257568,43955,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
27,2800,69.96099710464478,43862,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
28,2900,72.17376112937927,43822,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
29,3000,74.43656325340271,43656,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
30,3100,76.68920016288757,43617,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
31,3200,79.10030055046082,43471,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
32,3300,81.58353042602539,43278,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
33,3400,83.95625233650208,43278,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
34,3500,86.33242058753967,43248,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
35,3600,88.6527099609375,43155,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
36,3700,91.02023530006409,42919,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
37,3800,93.25855755805969,42919,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
38,3900,95.52315068244934,42919,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
39,4000,97.73797869682312,42804,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
40,4100,99.98024296760559,42739,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
41,4200,102.23121213912964,42517,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
42,4300,104.4942638874054,42462,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
43,4400,106.76868224143982,42462,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
44,4500,109.01188087463379,42297,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
45,4600,111.23048877716064,42166,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
46,4700,113.52344179153442,42166,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
47,4800,115.80555295944214,42112,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
48,4900,118.02925157546997,42072,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
49,5000,120.27659726142883,42040,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
50,5100,122.53440976142883,41896,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
51,5200,125.22282862663269,41814,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
52,5300,127.5584044456482,41760,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1195.674266576767
