num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.477445125579834,47764,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
2,300,3.1130926609039307,47631,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
3,400,4.75032114982605,47403,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
4,500,6.406260251998901,47403,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
5,600,8.099020004272461,47181,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
6,700,9.774556636810303,47181,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
7,800,11.464774370193481,47166,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
8,900,13.169047832489014,46957,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
9,1000,14.895871877670288,46714,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
10,1100,16.62282085418701,46646,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
11,1200,18.37837553024292,46543,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
12,1300,20.173946619033813,46391,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
13,1400,22.48673439025879,46351,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
14,1500,24.79188060760498,46224,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
15,1600,27.084161520004272,45968,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
16,1700,29.33842396736145,45775,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
17,1800,31.656635522842407,45775,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
18,1900,33.92401719093323,45606,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
19,2000,36.14640426635742,45330,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
20,2100,38.37828707695007,45008,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
21,2200,40.646809816360474,44752,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
22,2300,42.900073289871216,44540,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
23,2400,45.212838649749756,44211,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
24,2500,47.467936515808105,44211,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
25,2600,49.723628997802734,44146,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
26,2700,51.98728847503662,44116,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
27,2800,54.23280906677246,43926,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
28,2900,56.51834154129028,43926,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
29,3000,58.774550676345825,43860,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
30,3100,61.0313618183136,43820,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
31,3200,63.32402777671814,43730,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
32,3300,65.6076090335846,43475,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
33,3400,67.91863775253296,43234,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
34,3500,70.19434309005737,43234,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
35,3600,72.44047570228577,43234,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
36,3700,74.70723128318787,43083,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
37,3800,76.95179581642151,42788,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
38,3900,79.23512625694275,42788,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
39,4000,81.792959690094,42540,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
40,4100,84.49459266662598,42540,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
41,4200,86.8229603767395,42540,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
42,4300,89.12026596069336,42317,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
43,4400,91.41958975791931,42317,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1267.0767741203308
