num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.5509381294250488,46456,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
2,300,3.232084274291992,46456,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
3,400,4.87614631652832,46456,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
4,500,6.594500303268433,46122,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
5,600,8.245511770248413,45823,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
6,700,9.988939762115479,45823,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
7,800,12.42219853401184,45638,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
8,900,14.911605596542358,45638,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
9,1000,17.399728298187256,45251,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
10,1100,19.91316246986389,45189,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
11,1200,22.357438802719116,44966,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
12,1300,24.945830821990967,44952,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
13,1400,27.706771850585938,44801,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
14,1500,30.151509761810303,44765,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
15,1600,32.970455169677734,44765,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
16,1700,35.44685363769531,44549,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
17,1800,37.96016526222229,44549,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
18,1900,40.431310176849365,43844,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
19,2000,42.93914771080017,43844,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
20,2100,45.3980131149292,43843,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
21,2200,47.82995796203613,43766,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1210.7737641334534
