num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.629025936126709,47417,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
2,300,3.209689140319824,47417,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
3,400,6.112959861755371,47102,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
4,500,7.838336229324341,47057,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
5,600,10.07349705696106,46784,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
6,700,11.96933364868164,46741,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
7,800,13.682941913604736,46276,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
8,900,15.355019092559814,46248,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
9,1000,17.081151962280273,46110,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
10,1100,18.936739683151245,45638,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
11,1200,20.685560703277588,45638,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
12,1300,22.45004415512085,45243,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
13,1400,24.563554525375366,45006,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
14,1500,26.269047260284424,45006,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
15,1600,27.984023809432983,44588,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
16,1700,29.694868326187134,44525,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
17,1800,31.414043188095093,44502,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
18,1900,33.13447618484497,44365,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
19,2000,34.86028337478638,44345,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
20,2100,36.61758375167847,44345,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
21,2200,38.388328552246094,44135,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
22,2300,40.144564151763916,44135,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
23,2400,41.860995054244995,43991,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
24,2500,43.66431760787964,43991,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
25,2600,45.40021562576294,43677,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
26,2700,47.211798906326294,43677,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
27,2800,48.95972943305969,43615,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
28,2900,50.68938422203064,43516,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
29,3000,52.43860602378845,43516,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
30,3100,54.13729405403137,43392,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
31,3200,55.86758899688721,43277,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
32,3300,57.585625648498535,43210,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
33,3400,59.30809235572815,43003,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
34,3500,61.071204662323,42977,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
35,3600,62.85734510421753,42773,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
36,3700,64.56677985191345,42665,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
37,3800,66.25859355926514,42659,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
38,3900,67.99588775634766,42563,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
39,4000,69.72242903709412,42413,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
40,4100,71.47737622261047,42198,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
41,4200,73.17857217788696,42198,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1247.0563929080963
