num-generations,num-evaluations,time-elapsed,best-fitness,avg-fitness,num_features_mutation_strength,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,2.0133886337280273,56678,57261.02,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
2,300,4.181703567504883,56523,57117.79,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
3,400,6.305260896682739,56523,56912.73,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
4,500,8.382471084594727,56330,56645.96,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
5,600,10.62435245513916,55768,56426.15,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
6,700,12.950756072998047,55612,56146.76,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
7,800,15.764326095581055,55612,55921.99,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
8,900,18.78443193435669,54642,55769.23,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
9,1000,21.725124835968018,54453,55519.24,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
10,1100,25.846664428710938,54355,55205.43,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
11,1200,28.361105918884277,54134,54822.7,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
12,1300,31.085349559783936,53697,54368.42,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
13,1400,34.06536793708801,53419,54081.23,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
14,1500,37.05565166473389,53076,53722.09,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
15,1600,41.74778079986572,52887,53375.05,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
16,1700,45.10212469100952,52666,53158.02,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
17,1800,48.30449962615967,52503,52946.56,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
18,1900,51.390480279922485,52288,52728.25,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
19,2000,54.7397997379303,52212,52584.04,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
20,2100,60.91489219665527,51785,52386.17,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
21,2200,64.7814667224884,51637,52150.39,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
22,2300,68.86019110679626,51453,51933.06,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
23,2400,73.29432773590088,51453,51772.49,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1295.1952385902405
