num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.62961745262146,51930,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
2,300,3.1612377166748047,51642,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
3,400,4.87680196762085,51642,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
4,500,6.921882390975952,51305,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
5,600,8.93204927444458,50342,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
6,700,10.886986017227173,50342,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
7,800,12.85693097114563,50093,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
8,900,14.76199722290039,49251,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
9,1000,16.718916177749634,48738,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
10,1100,18.78696084022522,48738,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
11,1200,20.817244052886963,48664,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
12,1300,22.77597165107727,48214,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
13,1400,24.709250926971436,47932,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
14,1500,26.592638731002808,46905,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
15,1600,28.580661296844482,46905,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
16,1700,30.522915601730347,46816,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
17,1800,32.427162170410156,46084,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
18,1900,34.337154388427734,46084,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
19,2000,36.236833572387695,46020,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
20,2100,38.17694592475891,45959,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
21,2200,40.12706446647644,45865,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
22,2300,41.9972128868103,45467,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
23,2400,43.919264793395996,45467,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
24,2500,46.516807317733765,45082,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
25,2600,48.779154539108276,45077,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
26,2700,50.822697162628174,44663,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
27,2800,53.06110644340515,44417,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
28,2900,55.076855421066284,44417,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
29,3000,57.10716509819031,44417,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
30,3100,59.14877963066101,43692,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
31,3200,61.17680549621582,43686,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
32,3300,63.397133111953735,43686,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
33,3400,65.4704270362854,43686,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
34,3500,67.64300990104675,43514,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
35,3600,70.13384938240051,43273,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
36,3700,72.36687421798706,43273,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
37,3800,74.35680627822876,43046,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
38,3900,76.27938723564148,43027,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
39,4000,78.35684871673584,42943,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1082.4372766017914
