num-generations,num-evaluations,time-elapsed,best-fitness,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.3647716045379639,53655,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
2,300,2.8504650592803955,53655,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
3,400,4.322227239608765,53525,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
4,500,6.12144923210144,53232,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
5,600,8.2242112159729,52832,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
6,700,10.246392965316772,52200,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
7,800,12.230984687805176,52200,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
8,900,14.186505794525146,51448,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
9,1000,16.206614017486572,51257,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
10,1100,18.429789543151855,50836,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
11,1200,20.430609464645386,50691,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
12,1300,22.425042152404785,50264,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
13,1400,24.35743522644043,49960,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
14,1500,26.354376792907715,49823,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
15,1600,28.330466985702515,49526,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
16,1700,30.26219415664673,49046,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
17,1800,32.21211099624634,48906,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
18,1900,34.12970519065857,48906,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
19,2000,36.10619902610779,48190,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
20,2100,38.09196734428406,48190,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
21,2200,40.11787223815918,48190,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
22,2300,42.10153126716614,48190,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
23,2400,44.07298946380615,47987,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
24,2500,46.044923067092896,47873,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
25,2600,47.99136734008789,47857,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
26,2700,49.94094491004944,47722,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
27,2800,51.87559175491333,47593,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
28,2900,53.83380913734436,47500,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
29,3000,55.858966588974,47380,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
30,3100,57.91165328025818,47336,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
31,3200,59.95339870452881,47012,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
32,3300,61.853341579437256,46781,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
33,3400,63.771886587142944,46591,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
34,3500,65.68545031547546,46149,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
35,3600,67.58385729789734,46149,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
36,3700,69.46922016143799,45991,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
37,3800,71.37279462814331,45744,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
38,3900,73.25710797309875,45616,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
39,4000,75.19735050201416,45616,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
40,4100,77.1738531589508,45087,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1025.9151065349579
