num-generations,num-evaluations,time-elapsed,best-fitness,avg-fitness,num_features_mutation_strength,crossover-method,population-size,num-points,initialization,seed,population_size,crossover_method,num_points,generation_budget,time_spent
1,200,1.359905481338501,55495,55766.51,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
2,300,2.8626270294189453,55149,55704.73,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
3,400,4.3553383350372314,55030,55545.05,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
4,500,5.962899923324585,54681,55336.61,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
5,600,7.992769002914429,54521,55088.04,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
6,700,9.987478733062744,54521,54867.08,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
7,800,11.957614183425903,54288,54691.08,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
8,900,13.94253158569336,54075,54546.03,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
9,1000,15.898030519485474,53911,54377.96,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
10,1100,17.843961000442505,53678,54162.05,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
11,1200,19.822812795639038,53649,53967.06,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
12,1300,21.733959674835205,53649,53822.5,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
13,1400,23.68072009086609,53096,53671.61,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
14,1500,25.768141984939575,52667,53494.46,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
15,1600,28.035308837890625,52667,53272.53,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
16,1700,30.017265558242798,52438,53001.09,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
17,1800,31.923885345458984,52118,52738.9,0.25,ONE_POINT,100,100,GREYBOX,55,100,ONE_POINT,100,500,1030.6770465373993
